@RELATION interest 

@ATTRIBUTE previousWord2 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE previousWord1 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE nextWord1 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE nextWord2 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE class {1,2,3,4,5,6} 
@DATA
NP,WRB,NNS,VBD,6
IN,JJ,NNS,MD,6
IN,DT,IN,NP,5
JJ,NNS,NN,TO,6
NULL,NN,IN,DT,5
DT,JJ,NN,VBD,6
RB,VBD,X,NULL,1
TO,VB,NNS,IN,6
MD,VBP,IN,AB,6
NNS,IN,IN,DT,1
NP,IN,VBN,IN,1
IN,VBN,IN,DT,1
RB,NN,X,NULL,1
VB,VBD,IN,DT,1
VB,RP,IN,JJ,1
NNS,VBP,IN,NNS,1
VBG,NULL,X,NULL,4
AB,NN,IN,NP,5
AB,NN,NNS,CC,6
VB,NN,IN,NP,5
MD,VB,NNS,RB,6
PP,VBZ,NNS,VBP,6
JJ,NULL,NNS,IN,6
JJ,NN,CC,VB,5
AB,NN,IN,NP,5
IN,JJ,IN,JJR,1
NN,IN,IN,JJ,1
NN,IN,CC,NNS,6
DT,JJ,NN,CC,6
NNS,CC,CC,VBZ,6
),NULL,NNS,JJR,6
RB,JJR,NNS,TO,6
VB,JJR,NNS,X,6
AB,VBG,IN,AB,6
JJ,NULL,NN,VBD,6
DT,NULL,NN,IN,6
AB,IN,NNS,IN,6
NN,JJ,NN,MD,6
VBN,VBG,JJ,NN,6
AB,IN,NN,IN,6
JJ,IN,VBD,AB,6
POS,JJ,NN,IN,6
IN,JJ,NN,VBG,6
POS,JJ,NN,VBD,6
VBN,IN,CC,NNS,6
NN,POS,IN,JJ,5
VBG,JJ,RB,RB,6
NN,CC,NNS,RB,6
JJ,JJ,VBP,JJ,4
DT,JJ,IN,NNS,4
RBS,JJ,DT,VBG,1
CC,NN,IN,AB,5
JJ,NULL,NNS,VBD,6
DT,DT,X,NULL,1
CC,JJR,NN,X,6
AB,NN,IN,NP,5
JJ,JJ,NNS,IN,6
NULL,VBG,IN,DT,5
NN,IN,NNS,WDT,6
NN,IN,IN,NN,5
AB,NN,IN,DT,5
JJ,NULL,VBP,VBN,5
X,DT,NN,IN,6
VBP,JJ,IN,NNS,1
DT,JJ,NN,TO,6
JJ,NNS,NN,TO,6
VBZ,JJ,NNS,MD,6
RB,JJ,NNS,CC,6
NN,JJR,NNS,CC,6
MD,JJR,NNS,VBD,6
JJR,JJ,NNS,IN,6
JJ,RB,NNS,MD,6
VBG,NULL,IN,NP,5
NN,IN,NNS,WDT,6
NNS,CC,NNS,RB,6
POS,NN,NN,VBZ,6
TO,JJR,NNS,X,6
NP,POS,IN,DT,1
AB,X,NNS,VB,6
RB,JJR,NNS,DT,6
TO,JJR,NNS,IN,6
NP,VBD,NNS,X,6
RB,JJR,NNS,RB,6
NN,IN,IN,JJ,6
NN,NN,NNS,RB,6
VB,DT,CC,(,6
NNS,CC,NNS,VBN,6
VBD,VBN,IN,DT,1
NNS,IN,NN,IN,6
DT,NULL,NN,VBN,6
NN,IN,NNS,IN,6
TO,VB,NNS,CC,6
JJR,NULL,NNS,RB,6
IN,NP,NNS,MD,6
NN,JJ,NNS,RB,6
VBG,(,),NNS,6
JJR,NP,NNS,X,6
``,DT,IN,JJ,4
VBD,NULL,IN,DT,5
DT,NP,IN,NULL,5
VBD,JJ,NNS,VBD,6
AB,NN,IN,DT,5
JJR,NN,CC,RB,5
NP,POS,IN,DT,1
NNS,IN,IN,JJ,5
NN,IN,NNS,VBN,6
TO,VB,NNS,TO,6
VBN,IN,NNS,IN,6
IN,DT,IN,NNS,6
VB,NN,NNS,X,6
VBN,JJ,NNS,CC,6
IN,AB,NNS,VB,6
TO,VB,NNS,RB,6
JJ,NN,CC,IN,5
JJ,JJ,NNS,IN,6
DT,NN,X,NULL,5
NN,IN,NNS,CC,6
IN,JJR,NNS,CC,6
RB,JJ,NNS,IN,6
DT,JJ,NN,VBN,6
VB,RB,X,NULL,6
VB,JJ,X,NULL,3
RB,VBZ,IN,JJ,5
DT,JJ,NN,IN,6
CC,IN,NNS,VBP,6
POS,NN,NN,X,6
IN,NN,CC,VBZ,5
IN,JJ,NNS,X,6
IN,RB,NNS,CC,6
IN,DT,NN,NN,6
IN,NN,NNS,X,6
NN,IN,NNS,VBG,6
NNS,VBN,NNS,X,6
TO,VB,IN,DT,6
IN,NN,CC,DT,6
JJ,NN,X,NULL,6
NN,IN,NNS,JJR,6
NPS,JJ,IN,NP,5
NULL,NULL,NN,CC,6
IN,DT,X,CC,6
IN,JJ,VBD,NP,4
NP,POS,MD,VB,1
JJ,NN,IN,DT,5
NP,POS,IN,DT,1
IN,NULL,CC,PP,4
NULL,JJ,X,NULL,4
VB,DT,NN,IN,6
DT,JJ,NN,IN,6
NNS,VBP,NNS,TO,6
IN,DT,IN,DT,4
NNS,CC,NNS,X,6
IN,JJ,NNS,NP,6
IN,NP,NNS,VBG,6
IN,JJ,NNS,RB,6
NULL,VBG,IN,NP,5
NN,IN,NNS,IN,6
VBN,JJ,IN,DT,1
VBZ,VBG,NNS,TO,6
NN,JJ,VB,X,6
JJ,NNS,NNS,CC,6
VBD,NULL,IN,NP,5
VBN,NP,IN,NP,1
NNS,CC,NNS,X,6
TO,JJR,NNS,``,6
IN,VBG,NNS,X,6
NN,IN,NNS,VBG,6
JJ,NN,CC,IN,5
NN,RB,CC,JJ,6
CC,JJ,NNS,IN,6
VBN,IN,NNS,IN,6
VB,NN,NNS,X,6
TO,DT,IN,NN,4
TO,VB,NNS,X,6
IN,DT,NN,IN,6
TO,JJ,NNS,PP,6
IN,JJ,NN,DT,6
NULL,JJ,NN,IN,6
IN,VBG,NNS,RB,6
DT,VBN,NN,IN,6
WDT,VBZ,IN,NN,5
VBD,IN,NNS,CC,6
DT,NN,IN,DT,5
NULL,NN,IN,NP,5
RB,JJR,NNS,TO,6
NULL,NULL,VBZ,JJ,6
AB,AB,X,NULL,6
JJR,NULL,NNS,PP,6
NNS,IN,CC,NNS,6
VBP,IN,MD,VB,6
NN,VBN,IN,DT,6
POS,JJ,NNS,IN,6
DT,NN,MD,VB,5
VB,JJ,X,NULL,3
``,DT,NULL,IN,1
NP,IN,IN,JJ,5
NN,IN,NNS,DT,6
NN,CC,NNS,DT,6
AB,NN,NN,IN,6
RB,VBZ,IN,NN,5
JJ,JJ,NNS,IN,6
WDT,VBZ,IN,VBG,5
NULL,JJ,CC,NN,6
DT,JJR,NN,IN,6
AB,NN,IN,NN,5
NN,VBZ,IN,NN,5
VBN,VBG,IN,NP,5
JJR,JJ,NN,X,6
JJ,NULL,NN,VBD,6
AB,IN,NNS,VBN,6
POS,``,IN,VBG,1
VBG,NULL,NNS,VB,6
PP,VBP,NNS,VBP,6
NNS,POS,IN,DT,1
NN,CC,NNS,CC,6
NN,CC,NNS,VBP,6
NP,POS,VBD,RB,1
NNS,IN,IN,NN,6
IN,NN,IN,DT,6
CC,JJ,NNS,RB,6
VBN,DT,IN,NN,1
VBD,JJ,IN,JJ,1
JJ,NULL,VBZ,JJ,1
RB,JJ,IN,JJ,1
PP,IN,X,NULL,1
IN,JJ,NNS,X,6
JJR,JJ,NNS,IN,6
VBD,IN,NNS,RB,6
CC,IN,NNS,VBP,6
NN,NN,X,NULL,5
NN,IN,X,NULL,1
JJ,JJS,TO,VB,4
IN,JJ,NNS,CC,6
NP,POS,NN,NN,6
RB,VBG,NNS,TO,6
RB,VB,NNS,RB,6
POS,JJ,TO,VB,4
NNS,CC,X,IN,6
IN,JJR,NNS,IN,6
DT,JJ,IN,NN,1
NNS,CC,NN,IN,6
TO,VB,NNS,IN,6
NN,IN,NNS,VBN,6
RB,NULL,NNS,IN,6
VB,DT,NNS,CC,6
JJ,TO,NNS,IN,6
DT,JJ,CC,DT,5
NP,JJ,VBZ,NN,5
IN,JJ,IN,NP,5
NN,JJ,IN,NN,5
IN,JJ,CC,JJ,5
IN,JJ,NNS,VB,5
IN,JJ,MD,VB,5
IN,JJ,NNS,VBN,6
VBG,JJ,NNS,IN,6
JJ,JJ,NNS,IN,6
RB,VBZ,IN,JJ,5
NN,IN,IN,JJ,1
NNS,IN,RB,NNS,1
POS,JJ,IN,PP,1
NN,IN,NNS,IN,6
VBD,JJ,IN,DT,1
TO,VB,NNS,IN,6
JJ,JJ,VBZ,JJ,3
NN,NP,CC,NP,5
DT,JJ,X,NULL,5
VBD,VBN,IN,NP,1
AB,NN,IN,DT,5
NN,JJ,NNS,X,6
POS,JJ,NN,VBN,6
VB,JJ,NN,IN,6
NN,IN,NNS,CC,6
VBD,VBN,IN,NP,1
RB,JJR,NNS,RB,6
NNS,VB,IN,DT,6
NN,JJ,IN,DT,6
NN,),NN,AB,6
NN,IN,JJ,JJ,6
IN,JJ,NNS,CC,6
VBD,JJ,IN,RB,1
IN,DT,IN,DT,1
TO,VB,IN,NP,1
IN,JJ,NNS,CC,6
NP,NP,NNS,X,6
JJ,NULL,NNS,IN,6
VBZ,DT,NNS,(,6
VBD,DT,NN,NN,6
NN,IN,NNS,MD,6
DT,NULL,NN,NN,6
VBZ,DT,NN,VBZ,6
VB,VBN,IN,VBG,1
JJ,JJ,NNS,IN,6
X,JJ,NNS,IN,6
NN,NN,IN,JJ,5
AB,NN,IN,NP,5
IN,JJ,IN,JJ,5
NN,CC,NNS,IN,6
JJ,NN,VBD,JJ,5
TO,VB,IN,DT,5
NPS,IN,VBN,IN,6
NNS,X,VBN,IN,6
AB,NN,IN,DT,5
AB,NN,CC,IN,5
CC,JJ,NNS,MD,6
RB,VBN,IN,DT,1
VB,NULL,RB,X,1
VB,VBN,IN,DT,1
NP,POS,IN,NP,1
VBD,DT,IN,NP,1
RB,VB,RB,X,6
NNS,DT,IN,WDT,6
DT,NN,IN,DT,5
TO,VB,NNS,IN,6
RB,VBZ,IN,NP,5
NN,POS,X,NULL,4
JJ,NULL,NN,X,6
NNS,POS,IN,NN,1
VBN,JJ,RB,IN,1
NULL,NN,IN,NP,5
RB,VBZ,IN,VBG,5
RB,JJR,NNS,TO,6
NN,CC,NNS,MD,6
TO,VB,NNS,X,6
TO,VB,NNS,TO,6
IN,JJR,NNS,MD,6
NNS,CC,NNS,``,6
TO,JJR,NNS,VBN,6
IN,VBG,NNS,X,6
TO,VB,NNS,X,6
POS,NNS,VBD,PP,5
NN,IN,NNS,RB,6
CC,VBG,NNS,IN,6
NULL,NP,VBD,TO,3
NN,JJ,NNS,CC,6
PP,VBZ,IN,JJ,5
IN,JJR,NNS,VBD,6
POS,JJ,NN,IN,6
IN,JJ,NNS,X,6
DT,JJS,IN,DT,4
NNS,CC,NNS,``,6
VBD,JJ,NNS,X,6
VB,NP,NNS,RB,6
DT,NULL,NN,VBD,6
CC,NN,IN,NP,5
IN,NN,VBG,``,5
VBP,VBG,NNS,X,6
VBN,VBN,IN,VBG,1
AB,NN,X,NP,5
RB,JJR,NNS,TO,6
VBG,JJ,NNS,X,6
DT,NN,IN,AB,5
NNS,POS,IN,NN,4
TO,NN,VBD,IN,5
``,JJ,NULL,CC,4
NULL,JJ,CC,X,4
IN,JJ,DT,NP,5
IN,JJ,IN,IN,2
CC,VBG,NNS,JJ,6
VB,DT,CC,VBP,6
NN,IN,IN,AB,5
TO,NN,NNS,IN,6
DT,NN,IN,NP,5
NULL,NN,IN,AB,5
VBN,JJ,IN,DT,5
CC,VB,NNS,X,6
NN,(,MD,VB,6
JJ,JJ,NNS,IN,6
AB,IN,NNS,X,6
NNS,CC,NN,IN,6
NN,IN,NN,X,6
NNS,CC,NN,IN,6
VB,NULL,RB,X,4
IN,NP,NNS,JJ,6
IN,VBG,NNS,CC,6
JJ,JJ,NNS,MD,6
VB,IN,NNS,X,6
IN,JJ,IN,DT,1
NNS,IN,NNS,IN,6
NNS,CC,NN,X,6
IN,NP,IN,JJ,1
NN,VBD,NNS,X,6
RBS,JJ,NNS,VB,6
RB,JJR,NNS,TO,6
IN,VBG,NNS,VBD,6
IN,VBG,NNS,JJ,6
RBS,JJ,NNS,X,6
NNS,CC,IN,JJ,1
TO,VB,IN,DT,6
NNS,POS,VBZ,RB,4
IN,NP,MD,VB,1
VBD,DT,IN,AB,1
DT,NN,IN,DT,5
NP,POS,IN,DT,1
VB,VBN,IN,DT,1
POS,VBN,NN,NNS,6
POS,JJ,NN,NN,6
IN,DT,NN,NN,6
NN,IN,NN,NNS,6
CC,DT,IN,DT,1
NN,VBG,VBZ,VBN,6
JJS,JJ,NN,DT,6
JJ,NULL,NNS,IN,6
VBZ,JJ,NN,VBN,6
CC,VBN,X,NULL,6
VBZ,NP,MD,VB,4
VBZ,NP,RB,X,4
NULL,JJ,X,NULL,4
NN,IN,IN,NNS,5
IN,JJ,VBG,IN,6
POS,JJ,NULL,FW,4
NN,IN,NNS,CC,6
NP,POS,NN,IN,6
IN,DT,NN,IN,6
VBD,JJ,NNS,RB,6
JJ,JJ,NNS,PP,6
IN,JJ,NNS,PP,6
VB,NN,NNS,IN,6
IN,DT,NNS,IN,6
IN,VBN,NN,X,6
TO,VB,NNS,IN,6
VBN,DT,IN,NNS,3
POS,``,MD,VB,4
DT,VBG,IN,DT,5
NULL,AB,NN,IN,6
VBD,DT,IN,DT,1
RB,NN,IN,MD,1
VB,DT,IN,VBG,1
IN,DT,IN,DT,4
NN,NN,IN,NP,5
VB,RB,NNS,X,6
NULL,JJ,NULL,NP,4
RP,NULL,IN,NP,5
JJ,JJ,NNS,IN,6
DT,JJ,X,NULL,4
NULL,NULL,IN,AB,6
NULL,NULL,NNS,RB,6
IN,NULL,NNS,VBP,6
DT,JJ,IN,AB,1
PP,JJ,IN,DT,1
VBD,DT,IN,NN,1
TO,VB,NNS,TO,6
TO,JJR,NNS,IN,6
NP,VBZ,NN,NN,6
JJR,NULL,NNS,VB,6
VBG,NULL,NNS,JJ,6
IN,VBG,NNS,TO,6
IN,JJR,NNS,IN,6
VB,VBN,IN,VBG,1
NN,IN,NNS,X,6
DT,JJS,IN,NULL,4
TO,VB,NNS,IN,6
VB,JJ,NNS,MD,6
RB,DT,NN,IN,6
NNS,IN,NNS,MD,6
NULL,NULL,NNS,VBD,6
JJ,NULL,NNS,VBD,6
VB,RP,IN,NULL,1
IN,JJ,NNS,JJ,6
JJ,JJ,NNS,VB,6
DT,JJ,X,NULL,1
CC,NULL,IN,NNS,1
VBG,IN,NNS,NN,6
IN,JJR,NNS,VBD,6
TO,JJR,NNS,X,6
VB,DT,IN,NN,1
TO,VB,NNS,RB,6
TO,VB,CC,NNS,6
IN,JJ,IN,IN,6
NN,VBZ,X,NULL,1
IN,JJR,NNS,VBD,6
IN,NN,IN,NP,1
NN,IN,NNS,RB,6
DT,JJ,NN,NP,6
NN,JJ,IN,JJ,5
IN,NP,NNS,X,6
IN,VBG,NNS,X,6
NN,CC,NN,X,6
IN,NULL,NNS,VBP,6
VBG,NULL,NNS,RB,6
VB,IN,NNS,NN,6
VB,DT,IN,PP,6
IN,NULL,NNS,VBG,6
IN,JJR,NNS,X,6
NN,IN,NNS,NN,6
DT,JJ,IN,NN,4
CC,JJ,NNS,NNS,6
TO,JJ,IN,NNS,1
JJ,NULL,WDT,RB,5
POS,JJ,NNS,X,6
VBZ,VBN,IN,VBG,1
POS,NN,IN,DT,5
NULL,NN,IN,NP,5
TO,VB,NNS,IN,6
DT,JJ,NN,IN,6
AB,NN,IN,DT,5
VBD,NULL,IN,DT,5
NP,POS,TO,AB,5
DT,JJ,IN,DT,5
NN,JJ,IN,JJ,1
POS,JJS,DT,NN,4
VBD,JJR,NNS,IN,6
VB,VBN,NNS,IN,6
JJR,JJ,NNS,CC,6
VB,JJ,NNS,RB,6
VBD,VBG,NNS,RP,6
TO,VB,NNS,TO,6
NULL,VBN,X,NULL,4
PP,VBZ,NNS,TO,6
NN,IN,NNS,X,6
NULL,NULL,IN,NNS,6
JJ,NN,IN,NP,5
IN,DT,IN,NN,4
IN,JJ,NNS,X,6
DT,JJ,IN,NP,1
NULL,JJ,IN,DT,1
NN,CC,NNS,X,6
NN,CC,NNS,CC,6
VBN,DT,IN,VBG,1
IN,NN,X,NULL,6
IN,JJ,X,NULL,4
CC,VBN,TO,DT,6
NN,JJ,NN,VBZ,6
RB,VBP,IN,JJR,6
VBG,NN,IN,DT,6
NN,NULL,CC,NN,6
VBN,DT,IN,DT,1
NP,POS,IN,NP,1
NN,IN,NN,NNS,6
NULL,NULL,IN,NN,1
DT,NN,VBG,PP,1
IN,JJ,NNS,X,6
NN,IN,NNS,VBG,6
),NULL,NNS,NULL,6
JJ,NP,CC,VBD,1
NP,VBD,NNS,X,6
RB,IN,NN,NNS,6
JJ,NULL,NNS,VBN,5
JJ,NULL,VBZ,DT,5
DT,NN,IN,JJ,5
JJ,JJ,NNS,IN,6
VBN,IN,NN,NNS,6
TO,VB,NNS,X,6
VB,NN,NNS,VB,6
JJ,NP,NNS,VBN,6
AB,NN,IN,NP,5
NNS,CC,NNS,X,6
VB,DT,IN,NN,1
IN,NP,NN,VBZ,6
IN,JJ,NNS,X,6
IN,JJR,NNS,VBP,6
NP,JJ,NN,NN,6
VBD,NN,IN,DT,1
TO,NN,IN,AB,5
NN,IN,NNS,CC,6
CC,NN,CC,RB,5
NULL,NN,NNS,IN,6
POS,JJ,NNS,TO,6
NP,POS,IN,DT,5
IN,NULL,IN,DT,5
AB,RB,NN,CC,6
NNS,RB,NNS,CC,6
IN,JJ,NNS,IN,6
CC,VBN,IN,NULL,6
DT,JJ,X,NULL,4
DT,JJ,X,NULL,4
NNS,RB,NNS,CC,6
IN,DT,IN,NNS,4
DT,JJ,X,NULL,4
VBD,IN,NNS,IN,6
IN,NP,NNS,X,6
VB,JJ,NNS,X,6
VBD,VBZ,NNS,NULL,6
IN,VBG,NNS,RB,6
RP,IN,NNS,MD,6
JJ,JJ,IN,NN,1
IN,NULL,NNS,IN,6
NN,CC,VBN,IN,6
NN,CC,IN,NN,6
JJS,JJ,NN,X,6
JJS,JJ,NN,IN,6
JJ,NNS,IN,DT,6
WP,NULL,NN,MD,6
DT,VBN,NN,MD,6
RB,JJR,NNS,TO,6
(,DT,NN,),6
DT,JJR,NN,IN,6
DT,NN,NNS,VBP,6
WP,VBP,IN,DT,1
DT,JJ,IN,VBG,4
JJ,JJ,NN,IN,6
PP,VB,NNS,IN,6
NN,POS,X,NULL,3
VBG,JJ,NNS,VBN,6
RB,VB,RB,X,6
IN,JJ,NNS,RB,6
NULL,NULL,IN,DT,6
VB,RP,NNS,IN,6
VBP,JJ,IN,VBG,1
IN,NP,NNS,MD,6
DT,JJ,NN,NN,6
NP,NULL,NN,VBD,1
CC,NP,WDT,VBD,1
NP,JJ,NNS,MD,6
DT,NN,IN,DT,5
IN,IN,NN,X,6
VBG,NULL,NNS,RB,6
VB,DT,IN,PP,6
IN,VBG,NNS,X,6
JJ,NNS,NNS,MD,6
VB,JJ,NNS,JJR,6
VB,JJ,X,NULL,3
TO,VB,NNS,VBP,6
DT,JJ,NN,IN,6
IN,JJ,X,NULL,1
DT,NN,IN,DT,5
VBP,JJR,IN,NNS,1
IN,JJ,NULL,VBZ,1
IN,JJ,NNS,X,6
``,JJ,NNS,VB,6
NNS,VB,NNS,VBP,6
VBZ,DT,NN,VBZ,6
AB,NN,X,NULL,6
CC,JJ,X,NULL,3
VB,DT,IN,NP,5
NULL,JJ,CC,NNS,3
NNS,IN,NNS,DT,6
IN,JJ,NNS,CC,6
VBD,RB,IN,NNS,1
IN,DT,IN,DT,5
TO,NULL,X,NULL,4
CC,DT,IN,NP,5
CC,JJ,RB,IN,6
TO,VB,NNS,IN,6
CC,JJ,NNS,X,6
DT,JJ,IN,VBG,1
TO,VB,NNS,TO,6
NN,IN,NNS,X,6
VBZ,VBG,IN,NN,1
JJ,JJ,NNS,IN,6
VBD,JJ,NNS,CC,6
JJ,JJ,NNS,IN,6
CC,VBN,IN,NP,6
NN,IN,IN,NN,1
NN,IN,RB,VBD,1
JJ,CC,NNS,VBP,6
DT,VBN,NN,X,6
VB,JJ,IN,NP,1
NN,IN,NULL,DT,2
DT,VBG,IN,NPS,1
VBN,DT,IN,VBG,1
VB,VBG,IN,CC,5
VB,JJ,NNS,WDT,6
TO,VB,NNS,JJ,6
VB,JJ,NNS,IN,6
JJR,NULL,NNS,RB,6
DT,JJS,IN,NP,4
IN,DT,JJ,IN,6
VBG,RP,NNS,IN,6
VBN,IN,NNS,IN,6
NP,POS,IN,DT,1
VBN,DT,IN,NN,1
NNS,VB,VBD,RP,1
DT,JJ,NN,VBD,6
DT,IN,IN,DT,5
NP,NN,IN,NULL,5
DT,JJ,IN,DT,5
NP,POS,CC,RB,5
NN,NN,CC,DT,5
NN,NN,IN,DT,5
NN,NN,CC,DT,5
NN,NN,IN,DT,5
VBZ,VBN,IN,VBG,1
JJ,NP,X,NULL,5
NP,POS,CC,NP,5
NP,POS,``,DT,5
TO,NULL,IN,NP,5
NNS,VB,IN,NNS,5
NNS,IN,CC,NNS,6
POS,JJ,IN,JJ,3
NULL,NN,IN,DT,5
JJ,NP,NN,NN,6
VBD,NP,IN,IN,1
JJR,NP,NNS,VBP,6
NN,IN,NNS,CC,6
JJ,NP,X,NULL,1
IN,NULL,VBZ,IN,1
CC,DT,NN,IN,6
VB,JJ,X,NULL,3
IN,DT,NN,NN,6
VB,JJ,X,NULL,3
AB,NN,IN,DT,5
NULL,NULL,IN,DT,1
NN,IN,NNS,MD,6
IN,JJ,IN,PP,1
VBP,VBG,NNS,IN,6
IN,JJR,NNS,X,6
IN,JJR,NNS,VBG,6
JJ,NULL,NNS,VBD,6
VBG,JJ,VB,IN,6
NP,VBZ,IN,NN,5
IN,JJR,VB,VBG,6
NNS,IN,IN,NN,1
DT,RBS,X,NULL,1
NULL,NULL,IN,DT,1
VBG,TO,NNS,IN,6
IN,NULL,IN,AB,5
VBN,IN,NNS,IN,6
IN,DT,IN,NNS,6
VB,NN,NNS,X,6
NULL,JJ,IN,DT,5
NP,POS,IN,DT,1
NP,JJ,VBP,VBN,4
DT,NP,IN,NP,5
VBP,JJ,IN,VBZ,1
NNS,IN,IN,NULL,1
JJ,NP,IN,DT,5
VBG,JJ,TO,DT,5
NN,IN,CC,VBN,6
VBD,JJ,NNS,VB,6
DT,NP,VBZ,IN,4
POS,JJ,CC,VBZ,5
JJ,NULL,NNS,IN,6
IN,JJ,NNS,CC,6
VBD,NULL,IN,JJ,5
VB,NULL,TO,AB,5
VBZ,NULL,IN,JJ,1
IN,VBG,NNS,RB,6
NP,VBZ,NNS,TO,6
AB,NULL,IN,JJ,5
NN,NN,IN,DT,5
NN,DT,IN,AB,5
AB,IN,NNS,RB,6
NP,NN,MD,VB,5
CC,NN,VBD,AB,5
NN,NN,CC,JJ,5
NN,CC,VBN,TO,6
JJ,JJ,NNS,IN,6
VBZ,IN,CC,DT,6
NN,VBZ,NNS,MD,6
TO,NN,VBD,TO,5
IN,NN,CC,DT,6
NN,IN,CC,VBZ,5
CC,VBZ,NNS,X,6
TO,VB,NNS,DT,6
JJR,NULL,NNS,RB,6
VB,NP,NNS,IN,6
VBP,JJ,NNS,VB,6
TO,VB,NNS,IN,6
VB,VBN,IN,DT,1
IN,VBG,IN,DT,6
DT,NP,IN,NP,5
IN,JJR,NNS,VBP,6
IN,NP,NNS,MD,6
VBZ,VBG,IN,NN,1
NULL,NULL,NNS,VBD,6
NP,JJ,NNS,X,6
NNS,CC,IN,PP,6
IN,NN,NNS,X,6
AB,NN,TO,VB,5
VB,VBD,IN,DT,1
IN,DT,NN,NN,6
IN,DT,NN,NN,6
NNS,IN,NNS,IN,6
NN,NN,IN,DT,5
AB,NN,IN,NN,5
DT,VBG,IN,NP,5
IN,NP,IN,PP,1
DT,JJS,IN,DT,4
NP,VBZ,IN,NN,5
NN,CC,NNS,X,6
RB,VBN,IN,NULL,6
DT,NN,IN,DT,5
VB,VBG,IN,DT,6
DT,NN,NN,TO,6
VBD,NULL,IN,NP,5
JJ,JJ,IN,NULL,1
NN,CC,NNS,VBG,6
NN,IN,NN,JJ,6
IN,VBN,CC,TO,6
WDT,IN,CC,NNS,6
``,JJS,IN,NULL,4
VBN,NULL,IN,NP,5
NN,IN,X,NULL,6
POS,NN,IN,NP,5
IN,JJ,NNS,MD,6
NNS,IN,NNS,IN,6
NN,TO,JJ,JJ,2
NN,IN,VBZ,RB,1
CC,JJ,NNS,X,6
DT,JJ,NN,IN,6
CC,NN,VBD,DT,5
VBN,JJ,NNS,TO,6
VBG,RP,NNS,IN,6
DT,(,),NN,6
NN,IN,NN,NN,6
NN,IN,NNS,IN,6
VBZ,DT,NN,IN,6
NN,CC,NN,DT,6
NN,IN,NNS,CC,6
IN,NULL,NNS,VBD,6
NN,IN,NNS,DT,6
VBN,JJR,IN,NP,1
VBD,NULL,IN,VBG,1
IN,DT,IN,NP,4
IN,NULL,IN,NNS,1
CC,NP,X,NULL,5
IN,NULL,NNS,VBD,6
NULL,JJ,NN,X,6
NP,VBZ,IN,NN,5
JJ,JJ,NNS,IN,6
AB,NN,IN,DT,5
VBZ,JJ,NNS,X,6
VBZ,NULL,IN,VBG,1
VB,JJ,NNS,X,6
VB,JJ,NNS,IN,6
NN,IN,NNS,RB,6
IN,VBG,NNS,JJ,6
CC,JJ,NNS,CC,6
IN,JJ,NN,NNS,6
NN,IN,NNS,NULL,6
JJR,NULL,NNS,VBP,6
NNS,CC,NNS,X,6
IN,VBG,NNS,RB,6
NN,IN,NNS,MD,6
CC,IN,NNS,NN,6
VBZ,DT,NN,IN,6
VBZ,JJ,NNS,(,6
DT,VBG,IN,JJ,1
VB,NULL,CC,VBZ,4
IN,DT,IN,DT,4
NP,POS,IN,NP,5
AB,JJ,IN,NP,5
VB,DT,PP,VB,4
AB,NN,IN,DT,5
NNS,IN,IN,DT,1
DT,NN,IN,NULL,5
VB,JJ,X,NULL,3
CC,NN,VBG,NP,3
CC,JJ,NNS,MD,6
TO,JJR,NNS,TO,6
NP,JJ,NNS,X,6
IN,NP,NNS,VBP,6
MD,NN,NNS,RB,6
VBZ,VBN,NNS,IN,6
IN,JJ,IN,DT,1
RB,NULL,MD,RB,1
NULL,NULL,NNS,VBD,6
VBZ,NN,NNS,CC,6
IN,NP,NNS,X,6
NN,POS,VBD,VBN,4
NULL,JJ,IN,VBG,4
VB,VBN,X,NULL,1
NN,CC,NN,NNS,6
RB,IN,IN,DT,6
RB,VBG,IN,DT,6
CC,NN,CC,NN,5
IN,NN,VBD,#,5
IN,JJ,NNS,CC,6
DT,NN,IN,DT,1
IN,JJ,NNS,X,6
POS,JJ,NN,VBN,6
DT,JJ,IN,NN,1
NP,POS,IN,JJ,1
IN,DT,IN,JJ,1
VB,IN,IN,DT,1
NN,IN,IN,DT,1
VBN,VBG,IN,JJ,1
CC,VBZ,IN,AB,5
NP,IN,IN,NN,5
